System Name,System Description,System Owner Name,System Owner Email,Infosec Focal Person,Infosec Focal Person Email,Status,Business Unit Path,Asset Class,Data Classification,Associate Vendors,Cost to restore,On Premise,M&A asset,Cloud,RTO,RPO,Cyber Security Tools,Records Processed,Geo Records Processed
Absolute Destruction,Destruction of paper,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Information Technology,Business Critical,"Privacy, PII, Actuarial, Claims, Medical, Underwriting, Financial",Absolute Destruction,200,YES,NO,NO,24,24,,332461,"Germany,,332461"
Accounting CS Professional Suite,Financial Reporting,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Critical,PII,Amazon;Lyons Commercial Data,2000,YES,NO,NO,24,24,,7000,
Accurint,Background Checks,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Claims,Business Crucial,PII,Lexis Nexis,500,NO,NO,YES,24,24,,29000,
Accuzi,Address standardization,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Policy Services,Business Crucial,Underwriting,Accuzip,500,NO,NO,YES,,48,,800000,
Acord,Certificate of Insurance,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Policy Services,Business Crucial,Underwriting,,500,NO,NO,YES,24,24,,0,
Acuity,Flex Plan,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Human Resources,Business Crucial,PII,,2500,NO,NO,YES,20,23,,22610,
AFIRM,Commercial Audits,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Underwriting,Business Crucial,PII,IBM;Citrix Systems Inc.,800,NO,NO,YES,24,24,,125000,
Agency Database,Database with Agent information,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Critical,"PII, Financial",Amazon;IBM,800,NO,NO,YES,24,24,,1226,
Agency Manager,Database with Agent information,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Critical,"PII, Financial",Amazon,800,NO,NO,YES,,24,,1226,
Agent and Agency Manger Bonus Programs,Determines eligibility for bonus program and calculates amount of bonus to be paid and makes and records the payments.,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Sales,Business Critical,Financial,Cisco,250,NO,NO,YES,48,48,,1245,
Agent Center,Production Tracking,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Sales,Business Crucial,Underwriting,Department of the Treasury;Bank of America,800,NO,NO,YES,,24,,0,
Agent Commissions,Commission processing system,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Sales,Business Crucial,"PII, Financial",Department of the Treasury,500,NO,NO,YES,72,72,,350,
Always Care,Onsite Medical Care,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Human Resources,Business Critical,"PII, Healthcare, Medical",Health Equity,4000,YES,NO,NO,24,24,,1502500,"United States,Mississippi,1502500"
AQS,Commercial Lines Policy System,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Policy Services,Crown Jewel,"State Regulated, Underwriting",Carfax,500,NO,NO,YES,24,24,,,
Articulate 360,Course Authoring Software,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Training,Business Crucial,Underwriting,Information Providers,500,NO,NO,YES,72,72,,,
Assigned Risk,Get info from AISPO monthly; policies are serviced by AIPSO.,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Crucial,Financial,,14000,NO,NO,YES,24,24,,0,
AssureSign,Electronic Signatures,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Underwriting,Business Crucial,"PII, State Regulated, Underwriting",Insurance Services Office (ISO),1200,NO,NO,YES,72,72,,3000,
Auto Data Direct Inc.,Claims Investigation,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Claims,Business Crucial,"PII, Medical, Financial",Johnson Controls,500,NO,NO,YES,72,72,,3650,"United States,Florida,3650"
Avaya Phone System,Customer Service Center phone system,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Information Technology/IT Infrastructure,Crown Jewel,Employee,JS Investigations,2500,NO,NO,YES,24,24,,5000,"United States,Mississippi,5000"
AVS Plus - Automated Valuation Service,Investment Reporting - Valuation of Securities and Bonds.,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Critical,Financial,KPMG,500,NO,NO,YES,24,24,,,
Badge Pass,Access Control to building,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Facilities,Business Crucial,PII,Lexis Nexis,2500,NO,NO,YES,24,24,,5000,"United States,Mississippi,5000"
BCBS - Florida Blue,Employee Health Plans,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Human Resources,Business Crucial,"PII, Medical",Lyons Commercial Data,200,NO,NO,YES,24,24,,250,"United States,Florida,250"
Bell,Subrogation Collection,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Claims,Business Crucial,"PII, Claims",Mad Genius,200,NO,NO,YES,72,72,,360,"United States,Florida,360"
BenefitHub,Employee Benefit Portal,,"{demouser02}",,"{demouser01}",ACTIVE,Headquarters/Investments,Business Crucial,"PII, Medical",Madrid Engineering Group,200,NO,NO,YES,72,72,,50,
