Quant Metric Name,Description,Ordinal,Quant Name,Quant Metric Level,Regulation Acronyms,Data Classes,Technology Categories,Industries,Metric Formula,Metric Formula Data
10CA. Elastio: Total Baseline Annual Cost,Elastio:Total Baseline Annual Cost = Baseline Storage Annual Cost +  Annual Ransomware Exposure ($) + Baseline Downtime Loss  +   EBS Snapshot Cost + S3 Versioning Cost + Backup Validation Cost,,Elastio ROI Model,ORGANIZATION,,,,,Quantification Metric + Quantification Metric + Quantification Metric + Quantification Metric,"[{""ordinal"":0,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""2CA. Elastio: Baseline Storage Annual Cost Total"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":1,""isOperation"":true,""operation"":""PLUS""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""3CA. Elastio: Annualized Baseline Downtime Loss"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":3,""isOperation"":true,""operation"":""PLUS""},{""ordinal"":4,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""4CA. Elastio: BACKUP VALIDATION COST"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":5,""isOperation"":true,""operation"":""PLUS""},{""ordinal"":6,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""7CA. Elastio: S3 Versioning Cost"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}}]"
11CA. Elastio: Annual Ransomware Exposure without Elastio,CA33 + CA32,,Elastio ROI Model,ORGANIZATION,,,,,Quantification Metric + Quantification Metric,"[{""ordinal"":0,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""32CA. Elastio: Downtime Loss"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":1,""isOperation"":true,""operation"":""PLUS""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""33CA. Elastio: Elastio Restore Cost"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}}]"
12CA. Elastio: Storage ROI,Storage ROI,,Elastio ROI Model,ORGANIZATION,,,,," ABS (Quantification Metric - 1. Elastio: Price Quote to Prospect [2,845,000,000.00] )  / 1. Elastio: Price Quote to Prospect [2,845,000,000.00]  * 100.00","[{""ordinal"":0,""isOperation"":true,""operation"":""ABS""},{""ordinal"":1,""isOperation"":true,""operation"":""OPEN_BRACKET""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""8CA. Elastio: Storage Savings"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":3,""isOperation"":true,""operation"":""MINUS""},{""ordinal"":4,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763907834845,""updatedAt"":1768594488383,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":43,""value"":2.845E9,""name"":""1. Elastio: Price Quote to Prospect"",""description"":""1. Data Needed""}},{""ordinal"":5,""isOperation"":true,""operation"":""CLOSE_BRACKET""},{""ordinal"":6,""isOperation"":true,""operation"":""DIVIDE""},{""ordinal"":7,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763907834845,""updatedAt"":1768594488383,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":43,""value"":2.845E9,""name"":""1. Elastio: Price Quote to Prospect"",""description"":""1. Data Needed""}},{""ordinal"":8,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":9,""variableType"":{""id"":1,""name"":""Constant""},""value"":100.0,""isOperation"":false}]"
13CA. Elastio: Storage Payback (days),Elastio: Storage Payback (days),,Elastio ROI Model,ORGANIZATION,,,,,"1. Elastio: Price Quote to Prospect [2,845,000,000.00]  /  (Quantification Metric / 12.00) ","[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763907834845,""updatedAt"":1768594488383,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":43,""value"":2.845E9,""name"":""1. Elastio: Price Quote to Prospect"",""description"":""1. Data Needed""}},{""ordinal"":1,""isOperation"":true,""operation"":""DIVIDE""},{""ordinal"":2,""isOperation"":true,""operation"":""OPEN_BRACKET""},{""ordinal"":3,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""8CA. Elastio: Storage Savings"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":4,""isOperation"":true,""operation"":""DIVIDE""},{""ordinal"":5,""variableType"":{""id"":1,""name"":""Constant""},""value"":12.0,""isOperation"":false},{""ordinal"":6,""isOperation"":true,""operation"":""CLOSE_BRACKET""}]"
14CA. Elastio: RW ROI,CA14. Elastio RW ROI,,Elastio ROI Model,ORGANIZATION,,,,," ABS (Quantification Metric - 1. Elastio: Price Quote to Prospect [2,845,000,000.00] )  / 1. Elastio: Price Quote to Prospect [2,845,000,000.00]  * 100.00","[{""ordinal"":0,""isOperation"":true,""operation"":""ABS""},{""ordinal"":1,""isOperation"":true,""operation"":""OPEN_BRACKET""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""9CA. Elastio: Downtime Savings"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":3,""isOperation"":true,""operation"":""MINUS""},{""ordinal"":4,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763907834845,""updatedAt"":1768594488383,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":43,""value"":2.845E9,""name"":""1. Elastio: Price Quote to Prospect"",""description"":""1. Data Needed""}},{""ordinal"":5,""isOperation"":true,""operation"":""CLOSE_BRACKET""},{""ordinal"":6,""isOperation"":true,""operation"":""DIVIDE""},{""ordinal"":7,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763907834845,""updatedAt"":1768594488383,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":43,""value"":2.845E9,""name"":""1. Elastio: Price Quote to Prospect"",""description"":""1. Data Needed""}},{""ordinal"":8,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":9,""variableType"":{""id"":1,""name"":""Constant""},""value"":100.0,""isOperation"":false}]"
15CA. Elastio: RW Payback (days),RW Payback (days),,Elastio ROI Model,ORGANIZATION,,,,,"1. Elastio: Price Quote to Prospect [2,845,000,000.00]  /  (Quantification Metric / 12.00) ","[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763907834845,""updatedAt"":1768594488383,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":43,""value"":2.845E9,""name"":""1. Elastio: Price Quote to Prospect"",""description"":""1. Data Needed""}},{""ordinal"":1,""isOperation"":true,""operation"":""DIVIDE""},{""ordinal"":2,""isOperation"":true,""operation"":""OPEN_BRACKET""},{""ordinal"":3,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""9CA. Elastio: Downtime Savings"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":4,""isOperation"":true,""operation"":""DIVIDE""},{""ordinal"":5,""variableType"":{""id"":1,""name"":""Constant""},""value"":12.0,""isOperation"":false},{""ordinal"":6,""isOperation"":true,""operation"":""CLOSE_BRACKET""}]"
16CA. Elastio: Total Data Stored (TB),((CO14. Elastio: S3 Storage (TB) *28CO Replication Factor) + CO0. Elastio: Current Data Stored TB),,Elastio ROI Model,ORGANIZATION,,,,," (3. Elastio: S3 Storage (TB) [500.00]  * 4. Elastio: Replication Factor [3.00] )  + 2. Elastio: Current Data Stored TB [7,500.00] ","[{""ordinal"":0,""isOperation"":true,""operation"":""OPEN_BRACKET""},{""ordinal"":1,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763902222599,""updatedAt"":1767001898047,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":38,""value"":500.0,""name"":""3. Elastio: S3 Storage (TB)"",""description"":""3. Data Needed""}},{""ordinal"":2,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":3,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379878598,""updatedAt"":1767001912331,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":23,""value"":3.0,""name"":""4. Elastio: Replication Factor"",""description"":""4. Data Needed""}},{""ordinal"":4,""isOperation"":true,""operation"":""CLOSE_BRACKET""},{""ordinal"":5,""isOperation"":true,""operation"":""PLUS""},{""ordinal"":6,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379682629,""updatedAt"":1768594503649,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":15,""value"":7500.0,""name"":""2. Elastio: Current Data Stored TB"",""description"":""2. Data Needed""}}]"
17CA. Elastio: Cost to restore 1TB,( CA31+CO19 )/CO0,,Elastio ROI Model,ORGANIZATION,,,,," (Quantification Metric + 1. Elastio: Price Quote to Prospect [2,845,000,000.00] )  / 2. Elastio: Current Data Stored TB [7,500.00] ","[{""ordinal"":0,""isOperation"":true,""operation"":""OPEN_BRACKET""},{""ordinal"":1,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""31CA. Elastio: Downtime Loss Post Elastio"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":2,""isOperation"":true,""operation"":""PLUS""},{""ordinal"":3,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763907834845,""updatedAt"":1768594488383,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":43,""value"":2.845E9,""name"":""1. Elastio: Price Quote to Prospect"",""description"":""1. Data Needed""}},{""ordinal"":4,""isOperation"":true,""operation"":""CLOSE_BRACKET""},{""ordinal"":5,""isOperation"":true,""operation"":""DIVIDE""},{""ordinal"":6,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379682629,""updatedAt"":1768594503649,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":15,""value"":7500.0,""name"":""2. Elastio: Current Data Stored TB"",""description"":""2. Data Needed""}}]"
18CA.  Elastio: Cost of a Ransomware with Elastio in place,(CO21. Elastio: Annual Probability of a Ransomware Incident (0–1) * (CA16. Elastio: Total Data Stored (TB) * CO22. Elastio: Percent of data impacted) * CA17. Cost to restore 1TB) + (CA1. Downtime Cost per Hour ($) * CO7. Elastio: RRTO with Elastio ),,Elastio ROI Model,ORGANIZATION,,,,,21. Elastio: Annual Probability of a Ransomware Incident  [0.20]  *  (Quantification Metric * 22. Elastio: Percent of data impacted [0.50]  * Quantification Metric)  +  (Quantification Metric * 7.0.  Elastio: Down Time when Elastio is being used (hours) [8.00] ) ,"[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763910290483,""updatedAt"":1767000772457,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":45,""value"":0.2,""name"":""21. Elastio: Annual Probability of a Ransomware Incident "",""description"":""Annual Probability of a Ransomware Incident ""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""isOperation"":true,""operation"":""OPEN_BRACKET""},{""ordinal"":3,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""16CA. Elastio: Total Data Stored (TB)"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":4,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":5,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763910482504,""updatedAt"":1767000782865,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":46,""value"":0.5,""name"":""22. Elastio: Percent of data impacted"",""description"":""Percent of data impacted""}},{""ordinal"":6,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":7,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""17CA. Elastio: Cost to restore 1TB"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":8,""isOperation"":true,""operation"":""CLOSE_BRACKET""},{""ordinal"":9,""isOperation"":true,""operation"":""PLUS""},{""ordinal"":10,""isOperation"":true,""operation"":""OPEN_BRACKET""},{""ordinal"":11,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""1CA. Elastio: Downtime lost per hour"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":12,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":13,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379937235,""updatedAt"":1767000832986,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":27,""value"":8.0,""name"":""7.0.  Elastio: Down Time when Elastio is being used (hours)"",""description"":""Down Time when Elastio is being used (hours)""}},{""ordinal"":14,""isOperation"":true,""operation"":""CLOSE_BRACKET""}]"
1CA. Elastio: Downtime lost per hour,CO1/CO3,,Elastio ROI Model,ORGANIZATION,,,,,"0. Elastio: Prospect Annual Revenue [7,600,000,000.00]  / 28. Elastio: 9-5 Operating Hours per Year [2,000.00] ","[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763380911777,""updatedAt"":1768594450547,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":30,""value"":7.6E9,""name"":""0. Elastio: Prospect Annual Revenue"",""description"":""0. Data Needed""}},{""ordinal"":1,""isOperation"":true,""operation"":""DIVIDE""},{""ordinal"":2,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763896073142,""updatedAt"":1767001570535,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":32,""value"":2000.0,""name"":""28. Elastio: 9-5 Operating Hours per Year"",""description"":""Elastio: 9 -5 Operating Hours per Year""}}]"
20CA. Elastio: SS Storage,CO0 * CO15,,Elastio ROI Model,ORGANIZATION,,,,,15. Elastio: Snapshot Multiplier [0.60]  * Quantification Metric,"[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763902284394,""updatedAt"":1767001015132,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":39,""value"":0.6,""name"":""15. Elastio: Snapshot Multiplier"",""description"":""Snapshot Change Rate""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""CA28. Elastio: EC2/EBS Stored (GB) 10% Annual Growth"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}}]"
21CA. Elastio: SS Replication,CA20 * CO25,,Elastio ROI Model,ORGANIZATION,,,,,25. Elastio: Replication Multiplier [0.60]  * Quantification Metric,"[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1766065527674,""updatedAt"":1767000859019,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":49,""value"":0.6,""name"":""25. Elastio: Replication Multiplier"",""description"":""Replication Multiplier""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""29CA. Elastio: S3 Storage (GB)"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}}]"
22CA. Elastio: EC2/EBS Cost,CA28 * CO2 * CO25,,Elastio ROI Model,ORGANIZATION,,,,,19. Elastio: Baseline Storage Cost per TB/mo [0.10]  * Quantification Metric * Elastio: Annualize months to years [12.00] ,"[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379710093,""updatedAt"":1767001755120,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":16,""value"":0.1,""name"":""19. Elastio: Baseline Storage Cost per TB/mo"",""description"":""Elastio: Baseline Storage Cost per TB/mo""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""CA28. Elastio: EC2/EBS Stored (GB) 10% Annual Growth"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":3,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":4,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1766403392970,""updatedAt"":1766403392973,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":51,""value"":12.0,""name"":""Elastio: Annualize months to years"",""description"":null}}]"
