Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor
QCLD:110:280,"Is the organization subscribed to, or monitoring, appropriate sources for vulnerability and patch alerts for the components that it is responsible for?",5,Not answered,0,Cloud,Likelihood,25,YES,There should be a VMS or scanning tool in place to identify vulnerabilities related to the cloud service provider's code.,Is the organization responsible for any patching or maintenance of the system on the cloud service?|Yes|0|0,,NO,NO,NO,NO,YES,NO
,,,No,2,,,,,,,,,,,,,
,,,Yes,10,,,,,,,,,,,,,
QCLD:30,Is the organization responsible for any patching or maintenance of the system on the cloud service?,5,No,0,Cloud,Likelihood,30,YES,"If yes, additional questions will apply about the patch management process.",,,NO,NO,NO,NO,YES,NO
,,,Yes,10,,,,,,,,,,,,,
Vendor Equipment Risk 3,Are you using your own equipment?,5,Organization provides,2,VendorInternal,Likelihood,3,YES,"Provide the details of who is providing the laptop, desktop, table, mobile device or other computer equipment that is used for access to the organization systems.",,,YES,NO,NO,NO,NO,YES
,,,Vendor owned,6,,,,,,,,,,,,,
,,,Personally owned,10,,,,,,,,,,,,,
QIVND:4,Do you use a VPN to access the organization?,5,Yes,2,VendorInternal,Likelihood,4,YES,Check 'Yes' if you use a Virtual Private Network to log into the organization network(s).,,,YES,NO,NO,NO,NO,YES
,,,No,10,,,,,,,,,,,,,
QIVND:5,Do you use 2 factor authentication when accessing the organization?,5,Yes,2,VendorInternal,Likelihood,5,YES,Check 'Yes' if your company accesses the organization networks using multiple authentication factors (at least 2) to prove one's identity.,,,YES,NO,NO,NO,NO,YES
,,,No,10,,,,,,,,,,,,,
QIVND:6,Is the vendor using role based access when accessing the organization?,5,No,2,VendorInternal,Likelihood,6,YES,Check 'Yes' if your company has limited access based on roles to the organization's systems.,,,YES,NO,NO,NO,NO,YES
,,,Yes,10,,,,,,,,,,,,,
QIVND:61,"For any data that the vendor manages, processes, or stores: is it done in accordance with the relevant data protection and other regulations, with specific requirements formally established by the organization?",5,Yes,2,VendorInternal,Likelihood,11,YES,"Check 'Yes' if your company has a compliance program that defines how customer data is managed, processed and stored in relationship to privacy regulations and best practices.",,,YES,NO,NO,NO,NO,YES
,,,No,10,,,,,,,,,,,,,
