Constant,Scope,Value,Default Value
ASSESSMENT_FINDINGS$ASSESSMENT_FINDING,UI,מציאת מטלות,Assessment finding
ASSESSMENT_FINDINGS$CREATE_FINDING,UI,ליצור ממצא,Create finding
ASSESSMENT_FINDINGS$EDIT_FINDING,UI,לערוך ממצא,Edit finding
ASSESSMENT_FINDINGS$LINK_TYPE,UI,סוג קישור,Link type
ASSESSMENT_FINDINGS$TITLE,UI,ממצאי הערכה,Assessment findings
ASSESSMENTS$ASSESSMENT,UI,הערכה,Assessment
ASSESSMENTS$ASSESSMENT_LEVEL,UI,רמת הערכה,Assessment level
ASSESSMENTS$ASSESSMENT_WEIGHT,UI,אחוז משקל הערכה,"Assessment weight, %"
ASSESSMENTS$ASSESSMENT_WEIGHTS,UI,משקולות הערכה,Assessment weights
ASSESSMENTS$CREATE_ASSESSMENT,UI,ליצור הערכה,Create assessment
ASSESSMENTS$EDIT_ASSESSMENT,UI,ערוך הערכה,Edit assessment
ASSESSMENTS$TITLE,UI,הערכות,Assessments
ASSESSMENTS$TYPE_HEADER,UI,סוג,Type
ASSET_CLASSES$ASSET_CLASS,UI,מחלקת נכסים,Asset class
ASSET_CLASSES$CREATE_CLASS,UI,ליצור מחלקת נכסים,Create asset class
ASSET_CLASSES$EDIT_CLASS,UI,ערוך מחלקת נכסים,Edit asset class
ASSET_CLASSES$TITLE,UI,שיעורי נכסים,Asset classes
ASSOCIATE_MODELS$ASSOCIATE_MODEL,UI,מודל משויך,Associate model
ASSOCIATE_MODELS$CREATE_MODEL,UI,ליצור מודל מקורב,Create associate model
ASSOCIATE_MODELS$EDIT_MODEL,UI,ערוך מודל מקורב,Edit associate model
ASSOCIATE_MODELS$TITLE,UI,מודלים להקל,Associate models
ASSOCIATE_SYSTEMS$ASSOCIATE_SYSTEM,UI,להקצות מערכת,Associate system
ASSOCIATE_SYSTEMS$CREATE_SYSTEM,UI,ליצור מערכת associate,Create associate system
ASSOCIATE_SYSTEMS$EDIT_SYSTEM,UI,ערוך מערכת associate,Edit associate system
ASSOCIATE_SYSTEMS$TITLE,UI,להקצות מערכות,Associate systems
ASSOCIATE_SYSTEMS$VENDOR_ID_REQUIRED,UI,דרוש מזהה ספק,Vendor id is required
AUDIT_LOGS$AUDITOR_EMAIL,UI,"דוא""ל מבקר",Auditor email:
AUDIT_LOGS$AUDITOR_NAME,UI,שם מבקר,Auditor name:
AUDIT_LOGS$CHANGED_ITEM,UI,פריט שונה,changed item
AUDIT_LOGS$DATE_FROM,UI,תאריך מ,Date from
AUDIT_LOGS$DATE_RANGE,UI,טווח תאריכים,Date range
AUDIT_LOGS$DATE_TO,UI,תאריך ל,Date to
AUDIT_LOGS$DETAILS,UI,פרטי יומן ביקורת,Audit log details
AUDIT_LOGS$DIFF,UI,מבד,Diff
AUDIT_LOGS$FROM,UI,מ,from
AUDIT_LOGS$IN_ORGANIZATION,UI,בארגון,in organization
AUDIT_LOGS$ITEM_TYPE,UI,סוג פריט,Item type
AUDIT_LOGS$ITEM_TYPE_COLON,UI,סוג פריט:,Item type:
AUDIT_LOGS$MODIFIED_ITEMS,UI,פריטים ששונו,Modified items
AUDIT_LOGS$NEW_VALUE,UI,ערך חדש,New value
AUDIT_LOGS$OLD_VALUE,UI,ערך ישן,Old value
AUDIT_LOGS$OPERATION_TYPE,UI,סוג פעולה,Operation type
AUDIT_LOGS$OPERATION_TYPE_COLON,UI,סוג פעולה:,Operation type:
AUDIT_LOGS$PROPERTY,UI,תכונה,Property
AUDIT_LOGS$START_SEARCH,UI,לשנות משהו,change something
AUDIT_LOGS$TILL,UI,עד,till
AUDIT_LOGS$TITLE,UI,יומני ביקורת,Audit logs
AUDIT_LOGS$UPDATED_DATE,UI,תאריך עדכון,Updated date
AUDIT_LOGS$UPDATED_DATE_COLON,UI,תאריך עדכון:,Updated date:
AUTHORIZATION$CHANGE_PASSWORD,UI,שנה סיסמא,Change password
AUTHORIZATION$EMAIL_CONFIRMATION,UI,"אישור דוא""ל",Email Confirmation
AUTHORIZATION$FORGOT_PASSWORD,UI,שכחת את הסיסמא,Forgot password
AUTHORIZATION$LOGIN,UI,התחברות,Login
AUTHORIZATION$MFA_NOTIFICATION,UI,קוד האבטחה נשלח אליך. אנא הזן קוד ונסה שוב,Security code has been sent to you. Please enter code and try again
AUTHORIZATION$SIGN_IN,UI,להתחבר,Sign in
AUTHORIZATION$SIGN_OUT,UI,התנתק,Sign out
AUTHORIZATION$SIGN_UP,UI,הירשם,Sign up
BUSINESS_INTERRUPTION$TITLE,UI,הפרעה עסקית,Business interruption
BUSINESS_UNITS$BUSINESS_UNIT,UI,יחידה עסקית,Business unit
BUSINESS_UNITS$BUSINESS_UNIT_COLON,UI,יחידה עסקית:,Business unit:
BUSINESS_UNITS$BUSINESS_UNIT_REQUIRED,UI,חובה לבצע יחידה עסקית,Business unit is required
BUSINESS_UNITS$CREATE_UNIT,UI,ליצור יחידה,Create unit
BUSINESS_UNITS$EDIT_UNIT,UI,ערוך יחידה,Edit unit
BUSINESS_UNITS$INFOSEC_FOCAL_PERSON,UI,אדם מוקד לאבטחת מידע,Infosec Focal Person
BUSINESS_UNITS$OWNED_PROCESSES,UI,תהליכים בבעלות,Owned Processes
BUSINESS_UNITS$PARENT_UNIT,UI,יחידת הורה,Parent unit
BUSINESS_UNITS$TITLE,UI,יחידות עסקיות,Business units
BUSINESS_UNITS$USED_PROCESSES,UI,תהליכים משומשים,Used Processes
CATEGORIES$CATEGORY,UI,קטגוריה,Category
CATEGORIES$CREATE_CATEGORY,UI,צור קטגוריה,Create category
CATEGORIES$EDIT_CATEGORY,UI,ערוך קטגוריה,Edit category
CATEGORIES$RISK_TYPES,UI,סוגי סיכון,Risk types
CATEGORIES$RISK_TYPES_REQUIRED,UI,יש להגדיר סוג אחד לפחות,At least one type should be defined
CATEGORIES$TITLE,UI,קטגוריות,Categories
CHANGE_PASSWORD$CONFIRM_PASSWORD,UI,אשר סיסמה,Confirm password
CHANGE_PASSWORD$CONFIRM_PASSWORD_INVALID,UI,אישור סיסמאות אינו תואם לסיסמא,Passwords confirmation do not match with password
CHANGE_PASSWORD$CONFIRM_PASSWORD_REQUIRED,UI,אישור סיסמא נדרש,Password confirmation is required
CHANGE_PASSWORD$INVALID_TOKEN,UI,"אסימון הבקשה לדף זה אינו חוקי. יתכן שהוא כבר שימש, או פג תוקפו מכיוון שהוא ישן מדי. אנא חזור לדף הסיסמה ששכחה ונסה שוב.","The request token for this page is invalid. It may have already been used, or expired because it is too old.Please go back to the forgot password page and try again."
CHANGE_PASSWORD$NEW_PASSWORD,UI,סיסמה חדשה,New password
CHANGE_PASSWORD$NEW_PASSWORD_HELP_TEXT,UI,"סיסמאות חייבות להיות באורך של 8 תווים לפחות ולהכיל לפחות אותיות קטנות, אות אחת, ספרה אחת ותו מיוחד","Passwords must be at least 8 characters long and contain at least one lowercase letter, one uppercase letter, one numeric digit, and one special character"
CHANGE_PASSWORD$NEW_PASSWORD_INVALID,UI,סיסמה שגויה,Invalid password
CHANGE_PASSWORD$OLD_PASSWORD,UI,סיסמה ישנה,Old password
CHANGE_PASSWORD$OLD_PASSWORD_REQUIRED,UI,יש צורך בסיסמה ישנה,Old password is required
CHANGE_PASSWORD$SUCCESS_MESSAGE,UI,הסיסמה שלך שונתה בהצלחה,Your password has been successfully changed
CLOUD_SCORING$TITLE,UI,ניקוד ענן,Cloud scoring
CONTROL_FUNCTIONS$CONTROL_FUNCTION,UI,פונקצית בקרה,Control function
CONTROL_FUNCTIONS$CONTROL_FUNCTION_REQUIRED,UI,פונקצית בקרה נדרשת,Control function is required
CONTROL_FUNCTIONS$CREATE_FUNCTION,UI,צור פונקציית בקרה,Create control function
CONTROL_FUNCTIONS$EDIT_FUNCTION,UI,ערוך את פונקציית הבקרה,Edit control function
CONTROL_FUNCTIONS$TITLE,UI,פונקציות בקרה,Control functions
CONTROL_GUIDELINES$CONTROL_GUIDELINE,UI,הנחיית בקרה,Control guideline
CONTROL_GUIDELINES$CONTROL_GUIDELINE_REQUIRED,UI,הנחיית בקרה נדרשת,Control guideline is required
CONTROL_GUIDELINES$CREATE_GUIDELINE,UI,צור הנחיה,Create guideline
CONTROL_GUIDELINES$EDIT_GUIDELINE,UI,ערוך קו מנחה,Edit guideline
CONTROL_GUIDELINES$TITLE,UI,הנחיות בקרה,Control guidelines
CONTROL_TESTS$CONTROL_TEST,UI,מבחן בקרה,Control test
CONTROL_TESTS$CONTROL_TEST_REQUIRED,UI,יש לבצע בדיקת בקרה,Control test is required
CONTROL_TESTS$CREATE_TEST,UI,צור מבחן בקרה,Create control test
CONTROL_TESTS$EDIT_TEST,UI,ערוך את מבחן הבקרה,Edit control test
CONTROL_TESTS$TITLE,UI,בדיקות בקרה,Control tests
CYBER_RISK_SCORING$TITLE,UI,ציון סיכוני סייבר,Cyber risk scoring
CYBER_ROLES$CREATE_ROLE,UI,צור תפקיד סייבר,Create cyber role
CYBER_ROLES$CYBER_ROLE,UI,תפקיד סייבר,Cyber role
CYBER_ROLES$EDIT_ROLE,UI,ערוך את תפקיד הסייבר,Edit cyber role
CYBER_ROLES$TITLE,UI,תפקידי סייבר,Cyber roles
DASHBOARDS_FILTER$PRIVACY_DATA,UI,נתוני פרטיות,Privacy data
DASHBOARDS$SORT_BY,UI,מיין לפי:,Sort by:
DASHBOARDS$TOTAL_EXPOSURE,UI,"סה""כ חשיפה:",Total exposure:
DATA_CLASSES$CREATE_CLASS,UI,צור מחלקת נתונים,Create data class
DATA_CLASSES$DATA_CLASS,UI,מחלקת נתונים,Data class
DATA_CLASSES$EDIT_CLASS,UI,ערוך מחלקת נתונים,Edit data class
DATA_CLASSES$TITLE,UI,שיעורי נתונים,Data classes
DATA_EXFILTRATION$TITLE,UI,סינון נתונים,Data exfiltration
DOMAINS$DIALOG_TITLE,UI,הוסף דומיין למודל הסיכון,Add domain to risk model
DOMAINS$DOMAIN,UI,תחום,Domain
DOMAINS$DOMAIN_REQUIRED,UI,תחום נדרש,Domain is required
DOMAINS$MANAGED_BY,UI,"מנוהל ע""י",Managed by
DOMAINS$NO_AVAILABLE_DOMAINS,UI,כרגע אין תחומים זמינים,There is no available domains right now
DOMAINS$TITLE,UI,דומיינים,Domains
DROPZONE$ALLOWED_SINGLE_CSV,UI,"אפשר להעלות קובץ יחיד עם סיומת .csv, .xlsx או .xlsm","Allowed the upload of single file with .csv, .xlsx or .xlsm extension"
DROPZONE$DEFAULT_MESSAGE,UI,לחץ כאן או שמור קבצים כדי להעלות!,Click here or drop files to upload!
DROPZONE$NO_STATUS,UI,ללא סטטוס,No status
EMAIL_CONFIRMATION$FAIL,UI,אסימון הבקשה לדף זה אינו חוקי. יתכן שכבר נעשה בו שימוש או פג תוקפו מכיוון שהוא ישן מדי. חזור לאתר או ליישום ששלח אותך לכאן ונסה שוב.,"The request token for this page is invalid. It may have already been used, or expired because it is too old. Please go back to the site or application that sent you here and try again."
EMAIL_CONFIRMATION$SUCCESS,UI,"כתובת הדוא""ל אומתה בהצלחה. ברוכים הבאים!",The email address was successfully verified. Welcome aboard!
EXPOSURE_METRICS$CREATE_METRIC,UI,צור מדד חשיפה,Create exposure metric
EXPOSURE_METRICS$EDIT_METRIC,UI,ערוך מדד חשיפה,Edit exposure metric
EXPOSURE_METRICS$EXPOSURE_METRIC,UI,מדדי חשיפה,Exposure metric
EXPOSURE_METRICS$TITLE,UI,מדדי חשיפה,Exposure metrics
EXPOSURE_MODELS$EXPOSURE_MODEL,UI,מודל חשיפה,Exposure model
EXPOSURE_MODELS$EXPOSURE_MODEL_REQUIRED,UI,מדד חשיפה,Exposure model is required
EXPOSURE_MODELS$TITLE,UI,דגמי חשיפה,Exposure models
FIXED_CAPITAL_COSTS$CREATE_COST,UI,צור עלות הון,Create capital cost
FIXED_CAPITAL_COSTS$EDIT_COST,UI,ערוך עלות הון,Edit capital cost
FIXED_CAPITAL_COSTS$LICENSE_COST,UI,עלות רישיון,License cost
FIXED_CAPITAL_COSTS$LICENSE_TYPE,UI,סוג הרישיון,License type
FIXED_CAPITAL_COSTS$NUMBER_OF_CPUS,UI,מספר המעבדים,Number of CPUs
FIXED_CAPITAL_COSTS$NUMBER_OF_USERS,UI,מספר משתמשים,Number of users
FIXED_CAPITAL_COSTS$TITLE,UI,עלויות הון קבועות,Fixed capital costs
FIXED_OPERATIONAL_COSTS$COST_CENTER,UI,מרכז עלות,Cost center
FIXED_OPERATIONAL_COSTS$COST_CENTER_COLON,UI,מרכז עלות:,Cost center:
FIXED_OPERATIONAL_COSTS$CREATE_COST,UI,צור עלות תפעולית,Create operational cost
FIXED_OPERATIONAL_COSTS$EDIT_COST,UI,ערוך עלות תפעולית,Edit operational cost
FIXED_OPERATIONAL_COSTS$PERSON,UI,אדם,Person
FIXED_OPERATIONAL_COSTS$PERSON_COLON,UI,אדם:,Person:
FIXED_OPERATIONAL_COSTS$SEARCH_BY_COST_CENTER,UI,חיפוש לפי מרכז עלות,Search by cost center
FIXED_OPERATIONAL_COSTS$TITLE,UI,עלויות תפעול קבועות,Fixed operational costs
FORGOT_PASSWORD$DESCRIPTION,UI,"אנא הכנס את כתובת הדוא""ל שלך, ואנחנו נשלח לך דוא""ל לאיפוס סיסמה.","Please enter your email address, and we'll send you a password reset email."
FORGOT_PASSWORD$RESET_PASSWORD,UI,לאפס את הסיסמה,Reset password
FORGOT_PASSWORD$TITLE,UI,שכחת את הסיסמא?,Forgot password?
GDPR$ARTICLE,UI,מאמר,Article
GDPR$ARTICLE_COLON,UI,מאמר:,Article:
GDPR$ARTICLES,UI,מאמרים,Articles
GDPR$ARTICLES_COLON,UI,מאמרים:,Articles:
GDPR$ARTICLES_NUMBER,UI,מספר מאמרים:,Articles number:
GDPR$ARTICLES_PROCESSED,UI,מאמרים שעובדו:,Articles processed:
GDPR$CHAPTER,UI,פרק,Chapter
GDPR$CHAPTER_COLON,UI,פרק:,Chapter:
GDPR$COMPLIANCE,UI,הענות,Compliance
GDPR$COMPLIANCE_COLON,UI,הענות:,Compliance:
